期別,開獎日,銷售金額,獎金總額,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號,頭獎注數,頭獎獎金,頭獎累至次期獎金,貳獎注數,參獎注數,肆獎注數,伍獎注數,陸獎注數,柒獎注數,普獎注數,貳獎獎金,參獎獎金,肆獎獎金,伍獎獎金,陸獎獎金,柒獎獎金,普獎獎金,貳獎累至次期獎金,參獎累至次期獎金,肆獎累至次期獎金
103000062,103/07/22,"146,404,500","323,417,074",28,3,13,9,17,42,14,0,0,"274,912,614",2,53,123,"3,237","3,921",0,"53,495","2,484,156","93,741","22,440","3,240","1,000",0,400,0,0,0
103000061,103/07/18,"143,077,350","293,429,553",19,15,21,2,30,1,40,0,0,"242,894,599",1,49,107,"2,697","3,159",0,"48,373","9,485,920","103,195","26,254","3,958","1,000",0,400,0,0,0
103000060,103/07/15,"122,148,700","248,944,891",7,32,18,23,48,34,13,0,0,"210,307,681",0,35,99,"2,082","2,917",0,"37,625",0,"126,552","24,855","4,491","1,000",0,400,"4,429,330",0,0
103000059,103/07/11,"112,989,750","222,515,318",7,18,30,1,15,14,33,0,0,"181,763,106",2,37,101,"2,358","2,610",0,"40,749","3,787,569","105,165","21,403","3,483","1,000",0,400,0,0,0
103000058,103/07/08,"104,194,650","190,252,597",33,10,39,22,47,25,38,0,0,"156,686,945",0,49,71,"1,877","2,652",0,"34,304",0,"75,183","28,826","4,143","1,000",0,400,"3,684,011",0,0
103000057,103/07/04,"102,991,450","169,260,050",48,14,24,17,27,3,28,0,0,"132,945,540",2,35,115,"1,854","2,651",0,"33,316","3,458,351","104,574","17,681","4,167","1,000",0,400,0,0,0
103000056,103/07/01,"96,234,500","141,300,198",9,21,48,8,7,6,18,0,0,"109,358,160",0,39,98,"2,145","2,761",0,"34,959",0,"83,502","18,461","3,205","1,000",0,400,"3,256,593",0,0
103000073,103/08/29,"96,861,350","75,660,182",39,38,21,23,10,9,35,0,0,"44,214,706",0,45,92,"1,768","2,430",0,"33,022",0,"75,269","20,453","4,044","1,000",0,400,"3,387,144",0,0
103000072,103/08/26,"95,666,750","52,616,712",23,32,43,19,1,17,9,0,0,"22,386,440",2,28,87,"1,577","2,521",0,"28,746","1,736,879","124,062","22,182","4,650","1,000",0,400,0,0,0
103000071,103/08/22,"103,235,700","145,981,401",43,8,23,30,16,31,18,2,"56,080,369",0,2,45,93,"2,046","2,566",0,"36,573","1,781,299","79,168","21,281","3,675","1,000",0,400,0,0,0
